lang,ENGLISH
,
cred_1,A game by:
,The Winterer
,Sad Bread
,
cred_2,Sockswald voiceactor:
,IndoBones
,
cred_3,Playtesting:
,"Ember, SeekStuff"
,and Alex
,
cred_4,Classic 2023 boss theme by:
,Creepa-Bot Inc
,Local H00ligan
,
cred_5,Special thanks:
,L1zard
,Ramiyoru
,
cred_t,DELTARUNE (C) Toby Fox
,
,
,
start_text,Controls
,[ARROW KEYS]
, - Move
,[Z or ENTER]
, - Confirm
,[X or SHIFT]
, - Cancel
,[C or CTRL]
, - Skip Text
,[F4]
, - Fullscreen
,[Hold EXC]
, - Quit
,This game has controller support
,
gameOver,Retry battle
,Return to title screen
,
m_1,Start
,Config
,Credits
,Extras
,End Program
,
m_1e,OFF
,ON
,
m_2,Language
,Music Volume
,Sound Volume
,Controls
,Simplify VFX
,Fullscreen
,Keystrokes
,Speedrun Timer
,No-Hit
,Back_sd
,
m_2e,CONFIG
,ENG
,
m_3,DOWN
,RIGHT
,UP
,LEFT
,CONFIRM
,CANCEL
,MENU
,Reset to default
,Finish_sd
,
m_3e,Function
,Key
,
m_4,Inventory
,Music Style
,Debug Room
,Erase Save
,Challenge Mode
,Back_sd
,
m_4e,Page 
,Press 
, to View and Move the image.
,Press 
, to return to page select.
,
m_4e2,Page:
,
m_4e3,(Default)
,(Classic 2023)
,(ON)
,(OFF)
,
m_5,Start
,Skip intro
,
m_6,A
,B
,Back_sd
,
m_6e,???
,FluffGlove
,AstralCane
,If you equip this the (triple jump) will always be enabled.
,If you equip this the (ground pound) will always be enabled.
,
1_1,* As you make your way further through the city€€€€€€ you gaze far into the horizon.
,* The earth is painted raw€€€€€€ and black.
,* Smokestacks of Blac-INC factories coat the air in dark clouds.
,* Enveloping into weird€€€€€€ and twisted shapes.
,* An industrial dystopolis towers in the distance.€€€€€€ £* A place of progress.
,* Welcome€€€€€€ to @_cpThe World of Tomorrow
,
1_2,"* The air flows humid,€€€€€€ and it's hard to breathe."
,"* It stings in your lungs,€€€€€€ your eyes begin to squint."
,* You have to cover your mouth...€€€€€€ £* The smell makes you nauseous...
,
1_3,"* Somewhere€€€€€€ in the darkness,€€€€€€ a collective voice calls out:"
,* ¤Shatter the blinding shadow¤
,* ¤And restore the life of this land¤
,
1_4,* Is that an egg?
,* I could use an omelette right about now.
,
,
,
2_1,* Wait up Kris.€€€€€€ £* Something's up ahead...
,
2_2,"* What,€€€€€€ the boxes?"
,
2_3,"* LOOK,€€€€€€ it's moving!"
,
2_4,* .€€€.€€€.€€€€€€What?
,AND€€€€€€ THEY ALL LIVED€€€€€€ HAPPILY€€€€€€ EVAH€€€€€€ AFTUH!
,* Erm...€€€€€€ Is someone there?
,
2_5,WELL DOLLY WEE JILLICKERS!
,WHAT DO WE THPY€€€€€€ WITH OUR BUTTON EYE!
,
2_6,COMPANY!
,WE ALWAYS ENJOY THEEING THOME NEW FACETH.
,
2_7,"* I'm sorry,€€€€€€ did you say ¤we¤?"
,DOOHOHOH!€€€€€€ OF COURTHE!
,THE NAME'S SOCKSWALD€€€€€€ £IN'T THAT RIGHT £LIL' BUDDY?
,* ...
,* ...
,* ...
,OH HEY€€€€€€ WE JUST REMEMBERED!!!
,YOU GUYS SHOULD COME OVAH TO OUR PLACE!
,IT'S FULLA NEAT STUFF WE CAN SHOW YA!
,"* Oh well,€€€€€€ sure thing Sockswald!€€€€€€ £* We'd love to."
,YIPPEE!€€€€€€ WE'LL BE RIGHT UP AHEAD!
,
2_8,* ...
,
,
,
3_1,I WON'T FORGET WHAT I SAW!
3_2,I WISH £I WISH £I WISH
3_3,"THE STARS SAY IT ALL, WHEN THEY COME BACK I WILL KNOW IT ALL."
3_4,"THE STARS ARE ALL GONE, EVERY THING CHANGED SO FATHT..."
3_5,YOU NEVER FORGET
,IT JUST€€€€€€€€€ TAKES A WHILE TO REMEMBER...
3_6,I AM SOCKSWALD€€€€€€ YOUR NAME IS SOCKSWALD
3_7,WHAT DID THE SOCK SAY TO THE OTHER SOCK?
,YOU'RE MY€€€€€€ SOLE€€€€€€-MATE!
,* The signs above read jokes of similar caliber.
3_8,* It's some kind of upwards Hall-of-Tallys.
,
,
,
4_1,* Hold on Kris.
,
4_2,* I don't know about this.€€€€€€ £* I have a weird feeling @in my gut...
,"* Susie,€€€€€€ I'll bake all the omelets you want as soon as we get home."
,* Really?
,* I mean-€€€€€€ NO. €€€€€€It's not that.
,* It's just that this guy is definitely insane!
,* Talking to themselves...€€€€€€ £* Digging in the trash...
,
4_3,* We've met€€€€€€ enough weirdos that try to kill us.
,"* Oh Susie,€€€€€€ don't think of it like that,€€€€€€ they seem friendly!"
,* They're an odd fellow for sure...
,* But Kris never misses the opportunity to make a new friend.
,* ...€€€€€€Like when they met you!
,
4_4,* ...
,"* Alright,€€€€€€ fine."
,* This ¤Neat Stuff¤€€€€€€ better be worth it.
,* That's the spirit!
,* I'm sure whatever they got will come in€€€€€€ ¤Handy¤
,
,
,
5_1,* It's a box of blank signs just begging to be scrawled on.
,"THEIR LIDDLE SIGN VOICETH ARE CUTE, AIN'T THEY?"
,
