[PTPTeam Jr]
kaytea42, Director, Artist & Programmer
WillEthelGame101, Director & Programmer
lerp32, Artist & Programmer
Luigio, Level Designer & Playtester
kanyaeh, Tile Artist & Level Designer
NeigePastel, Additional Artist
dudithebudi, Writer
osp08, Musician & Playtester
Roley, Playtester
Pulstar, Concept Artist & Playtester
Mr. Unown, Playtester & Former Programmer
marioket, Former Programmer & Playtester
Fito, Playtester

[Special Thanks]
BellHop, Former Promotional/Concept Artist
Pizza Crust, Former Artist
Lillian, Former Additional Artist
Tour De Pizza, Creator of Pizza Tower
Dim Widdy, Composer of Tutorial Music
Compwnter, TV Dialogue Feedback
Firelight Technologies Pty Ltd, FMOD Studio
