
{4e4c9842-2cfc-4593-a06b-150e903cbd89} event:/music/levels/world1/entry
{1b2d2e43-f9b3-460e-bf9e-3d320de63d1f} event:/music/timesup-sfx
{f1c48a4f-7263-4647-8bdd-c2ab82b110d7} event:/music/rank
{caa30b52-165b-4b51-9f1e-81a5b8029cb2} event:/music/levels/tutorial
{430acc57-6cda-49a2-b599-4a2590004eb0} event:/music/levels/world1/dungeonsecret
{eaa3cf64-9fd5-4c42-91c6-24028b36d4e4} event:/music/levels/world1/dungeondepth
{d9071f66-b646-4292-aca0-ba40d2b1f0ef} event:/music/levels/world1/dragonslairsecret
{cd2b5269-650c-49e2-bc89-d561c2780d47} event:/music/pillarmusic
{e160d36d-e79a-45fa-af94-bd56175f7a42} event:/music/levels/world1/medieval
{60c1a571-4a6b-4e6c-b841-3eb4cb42ac3e} event:/music/windloop
{a82d7b75-6843-4f08-8d3f-4f4161563696} event:/music/escaperumble
{716e4776-a1bd-4784-9506-dc704ae4bc51} event:/music/pause
{ad237576-f40f-45cf-bc71-436c7b03c88c} event:/music/levels/world1/dragonslair
{49d6e18a-4ea9-4813-9014-f7b14da5a1ff} event:/music/levels/world1/ruinsecret
{5a99de94-7c99-4c30-82a0-396b8e18cd3a} event:/music/timesup
{71958f95-ef83-4ef2-9128-3a1a42d5a53d} event:/music/levels/world1/entrysecret
{d358cd99-8941-42eb-a9ec-1accbec39b7b} event:/music/characterselect
{12b488a2-e313-4d32-af02-72b82819c4b8} event:/music/levels/world1/ruin
{e63bf4b1-108b-4f86-8cf6-b60b439339f9} event:/music/intromusic
{a20059b3-841d-4365-b7a5-a8aa1bf37cf8} event:/music/escape
{cedd39bb-3ce3-4cea-b5a1-656f921e9e5d} event:/music/badgeselect
{300048bc-541a-4033-88d0-9def39c04338} event:/music/intro
{4141a6c3-3d62-413c-8dc9-a4b870eb9b01} event:/music/introaudio
{67ae07c4-d902-4389-a2d9-d52316e2ce00} event:/music/levels/world1/medievalsecret
{0c8b42c5-1d88-4f58-b5d0-223d1f29fb6a} event:/music/hubSAGE
{24bf79cc-1e51-4aba-a570-f0e7449d14e2} event:/music/levels/world1/dungeon
{023fd9d7-12ce-4b4b-b2bb-5cd4b2cb33c3} event:/music/mainmenu
{c7ace100-e160-49d7-859a-95acbe0fb9c6} event:/sfx/enemy/hit
{0311bc03-ebc2-4aa1-b8e6-18b060a66d71} event:/sfx/player/transfo/knightthunder
{e663c303-76d3-4100-8152-af062da9afe5} event:/sfx/misc/tutorialtrap
{b794b806-9853-4823-b00e-84f050c4c9e4} event:/sfx/player/transfo/bombpeptick
{1c4d3208-160d-4d80-bd19-27fbdcaca3cc} event:/sfx/player/taunt
{914e0d09-3a88-49f2-88c6-a436fa77d60e} event:/sfx/misc/disclaimerspin
