BetterExportAssetOrder
Improved by burnedpopcorn180
Originally made by Grossley and colinator27

Assets Found:

Sounds: 673
Sprites: 3799
Backgrounds: 112
Paths: 68
Scripts: 2344
Fonts: 11
Objects: 3223
Timelines: 0
Rooms: 287
Shaders: 26
Extensions: 0

--------------------- SOUNDS ---------------------
0 - snd_ceroba_staff_lock
1 - snd_chem_05_axis_acid_1
2 - mus_retribution
3 - mus_soulmate_located
4 - snd_mansion_tv_glitch
5 - snd_guardener_flintlock_shield
6 - snd_ceroba_super_bullet_drop
7 - snd_ceroba_shield_impact
8 - snd_hurtsmall
9 - snd_axis_geno_laser_drill
10 - snd_axis_trash_can_hit
11 - mus_birdnoise
12 - snd_sousborg_egg_crack
13 - snd_elevator_door_shut
14 - mus_kanako_reprise
15 - snd_feisty_moray_color_shift
16 - snd_screenshake
17 - mus_menu_wild_east
18 - snd_guardener_laser_shoot_loop
19 - snd_guardener_vine_snip
20 - snd_hurtdragon
21 - mus_flowey_roof_intro_1
22 - mus_f_phase2_paper
23 - mus_f_newlaugh
24 - snd_feisty_moray_entrance
25 - snd_undertale_explosion
26 - snd_final_martlet_scream
27 - snd_axis_twinkle
28 - mus_sadlo
29 - mus_gift_1
30 - snd_chem_05_axis_acid_3
31 - snd_hurtbuzz
32 - mus_a_place_to_rest
33 - snd_shotstrong_nails
34 - snd_guardener_step_on_flowers
35 - snd_guardener_plants
36 - snd_shotweak_pellets
37 - mus_guardener_theme
38 - mus_flowey_roof_intro_2
39 - snd_ceroba_attack_bell_ring
40 - mus_guns_blazing
41 - snd_badexplosion
42 - snd_shotmid_glass
43 - snd_feisty_mooch_entrance
44 - snd_guardener_rise
45 - mus_menu_steamworks
46 - snd_axis_energy_ball_explode
47 - snd_hurtloox
48 - mus_honest_days_work
49 - snd_f_whatwouldyoulike
50 - snd_hurtbig
51 - mus_f_phase2_organic
52 - snd_undertale_chug
53 - snd_mansion_kotatsu_move
54 - snd_shotweak_nails
55 - snd_ceroba_cloak
56 - snd_ceroba_charge
57 - snd_shotweak_flint
58 - snd_attack_swipe
59 - snd_starlo_buys_gun
60 - snd_axis_scrape_away
61 - snd_ceroba_bullet_drop
62 - snd_mail_jingle_hotland
63 - snd_ceroba_scream
64 - mus_mothers_love_phase_2
65 - mus_mixin_it_up
66 - snd_sliding_door_open_steamworks
67 - snd_martlet_takeoff
68 - snd_ceroba_staff_break
69 - snd_guardener_leave_2
70 - snd_flowey_panel_hack
71 - mus_deal_em_out_moray_yellow
72 - snd_chem_05_axis_acid_2
73 - snd_sousborg_egg_fire_loop
74 - snd_justice_effect
75 - snd_talk_kanako
76 - snd_pellet_pile_spawn
77 - snd_flowey_world_snap
78 - snd_undertale_spearrise
79 - mus_deal_em_out_yellow
80 - snd_shotweak_glass
81 - snd_ceroba_retransform
82 - snd_geno_power_on
83 - snd_martlet_book
84 - mus_UNDERTALE_oogloop
85 - mus_mothers_love_temp
86 - snd_chem_05_axis_fall
87 - snd_shotstrong_glass
88 - mus_tucked_in
89 - snd_crowd_loop
90 - mus_elevator_broken
91 - snd_item_get
92 - mus_after_hours
93 - snd_feisty_ed_entrance_mooch
94 - snd_mansion_slidedoor_open
95 - sndfnt_sans
96 - sndfnt_flowey
97 - sndfnt_toriel
98 - snd_talk_martlet_original
99 - sndfnt_default
100 - sndfnt_dalv
101 - sndfnt_default2
102 - snd_talk_martlet
103 - snd_talk_flowey_2
104 - snd_talk_ed
105 - snd_talk_mooch
106 - snd_talk_ace
107 - snd_talk_starlo
108 - snd_talk_ceroba
109 - snd_talk_moray
110 - snd_talk_sans
111 - snd_talk_axis
112 - mus_credits
113 - mus_cymbal
114 - mus_delivery
115 - mus_delivery_intro
116 - mus_fallendownyellow
117 - mus_floweynew_yellow
118 - mus_gameover_yellow
119 - mus_genobattle_yellow
120 - mus_intro
121 - mus_justice
122 - mus_nobodycame_yellow
123 - mus_null
124 - mus_prebattle1_yellow
125 - mus_prebattle2_yellow
126 - mus_shop
127 - mus_wind
128 - snd_fall2
129 - mus_menu_ruins
130 - mus_menu_darkruins
131 - mus_menu_snowdin
132 - mus_menu_options
133 - snd_soul_slow_down
134 - mus_coolestcave
135 - mus_dalv_diary
136 - mus_dalvbattle_yellow
137 - mus_dalventertainer
138 - mus_dalvopening_yellow
139 - mus_darkruins
140 - mus_decibat_yellow
141 - mus_funsized_yellow
142 - mus_intronoise
143 - mus_ruins_yellow
144 - mus_spook
145 - mus_honeydew_bark
146 - mus_honeydew_dalv
147 - mus_honeydew_lodge
148 - mus_honeydew_ruins
149 - mus_honeydew_snow
150 - mus_lounging_around
151 - snd_guardener_vine_crumble
152 - mus_trapdoor
153 - mus_apprehension_yellow
154 - mus_mart_geno_wind_yellow
155 - mus_martletbattle_yellow
156 - mus_occupied_turf_yellow
157 - mus_shuffling3
158 - mus_shuffling2
159 - mus_shuffling1
160 - mus_aviation
161 - mus_uhoh
162 - mus_battle_snowdin
163 - mus_birdsofafeather
164 - mus_gimme_ur_cash_yellow
165 - mus_micro_temperature
166 - mus_pipin_hot_yellow
167 - mus_quietstray
168 - mus_notsoquietstray
169 - mus_relaxation
170 - snd_guardener_level10
171 - mus_f_phase2_gray
172 - mus_snowfall
173 - mus_a_new_partner
174 - mus_apex
175 - mus_bailador_overworld
176 - mus_blossom
177 - mus_cafe
178 - mus_cafe_arcade
179 - mus_dual
180 - mus_dual_short
181 - mus_dunes_cave
182 - mus_dunes_cave_outdoors
183 - mus_elevator
184 - mus_feisty
185 - snd_hurt_slither
186 - mus_gemstone_fever
187 - mus_gunshop
188 - snd_shotmid_nails
189 - mus_happy_hour
190 - mus_change_of_plans
191 - mus_kanako
192 - mus_renewed
193 - mus_sheriffs_fate
194 - mus_shimmer
195 - mus_snoring_justice
196 - mus_starlo_entrance
197 - mus_the_straw
198 - mus_the_wild_east
199 - mus_the_wild_east_barn
200 - mus_the_wild_east_house
201 - mus_the_wild_east_sleepy
202 - mus_train_trouble
203 - mus_train_trouble_2
204 - mus_unforgiving
205 - mus_vigorous_terrain
206 - mus_trial_by_fury
207 - mus_sunnyside_ranch
208 - mus_heatwave_approaching
209 - mus_the_wild_east_hospital
210 - mus_showdown
211 - mus_the_wild_east_jail
212 - mus_oasis_indoors
213 - mus_abandoned
214 - mus_detainment
215 - mus_steamworks_overworld
216 - mus_treading_lightly
217 - mus_detour
218 - mus_build_a_bot
219 - mus_enter_axis
220 - snd_mirrorbreak
221 - snd_mirrorbreak2
222 - snd_mirrorbreak3
223 - snd_shotmid_flint
224 - snd_flash
225 - snd_mfsquish
226 - snd_big_bell_ring
227 - snd_attackhit
228 - snd_attackhitperfect
229 - snd_attackhitcrit
230 - snd_shotweak
231 - snd_shotmid
232 - snd_shotstrong
233 - snd_confirm
234 - snd_hurt
235 - snd_gun
236 - snd_bullet_warning
237 - snd_gun_hit
238 - snd_mainmenu_select
239 - snd_trihecta_small_ball_bounce
240 - snd_trihecta_reflect_balls
